State,2015,2016,2017,2018,Party
North Dakota,6.0606060606060606,3.125,3.125,8.823529411764707,R
Arkansas,5.405405405405405,3.829787234042553,5.5045871559633035,9.691629955947137,R
Iowa,7.83132530120482,5.161290322580645,10.0,14.184397163120568,R
Missouri,24.369747899159663,7.76255707762557,10.849056603773585,14.691943127962084,R
West Virginia,15.32258064516129,7.964601769911504,10.526315789473683,12.396694214876034,R
Arizona,17.875647668393782,8.201058201058201,10.75268817204301,12.876712328767123,R
Oregon,8.108108108108109,8.235294117647058,13.461538461538462,12.195121951219512,D
South Dakota,14.814814814814813,8.333333333333332,7.8431372549019605,10.204081632653061,R
Utah,11.711711711711711,8.620689655172415,7.246376811594203,9.271523178807946,R
New York,14.31472081218274,8.807134894091416,9.727164887307236,11.479289940828401,D
Washington,12.781954887218044,8.8339222614841,8.832807570977918,8.98876404494382,D
Maine,14.285714285714285,8.866995073891626,9.13978494623656,10.555555555555555,D
Massachusetts,15.588235294117647,9.144542772861357,10.158730158730158,12.786885245901638,D
Kansas,9.230769230769232,9.243697478991598,9.75609756097561,13.223140495867769,R
South Carolina,23.484848484848484,9.917355371900827,13.761467889908257,19.047619047619047,R
California,13.800657174151151,10.0,9.122401847575059,11.163337250293772,D
Connecticut,9.95850622406639,10.300429184549357,11.11111111111111,11.894273127753303,D
Delaware,19.35483870967742,10.344827586206897,27.27272727272727,27.77777777777778,D
Mississippi,14.761904761904763,10.497237569060774,13.294797687861271,13.450292397660817,R
Vermont,5.263157894736842,10.526315789473683,12.162162162162163,13.698630136986301,D
Pennsylvania,11.11111111111111,10.580204778156997,11.908931698774081,14.08199643493761,R
Tennessee,13.694267515923567,10.616438356164384,11.678832116788321,14.079422382671481,R
Wisconsin,14.634146341463413,10.69767441860465,12.619047619047619,14.814814814814813,R
Ohio,12.224108658743633,10.801393728222997,12.704174228675136,12.25577264653641,R
Maryland,17.704918032786885,10.95890410958904,14.015151515151514,16.599190283400812,D
Minnesota,11.522633744855968,11.25,13.392857142857142,14.893617021276595,D
Rhode Island,4.6875,11.29032258064516,14.285714285714285,12.5,D
North Carolina,13.157894736842104,11.513157894736842,12.840466926070038,14.982578397212542,R
Nevada,26.923076923076923,11.76470588235294,10.869565217391305,12.5,D
District of Columbia,15.789473684210526,12.195121951219512,8.108108108108109,17.142857142857142,D
Alabama,13.705583756345177,12.435233160621761,16.57142857142857,16.38418079096045,R
Illinois,14.988814317673377,12.755102040816327,13.110539845758353,14.285714285714285,D
Colorado,17.24137931034483,12.903225806451612,15.675675675675677,12.087912087912088,D
Virginia,18.33910034602076,13.186813186813188,15.849056603773585,18.218623481781375,D
New Jersey,11.940298507462686,13.522012578616351,15.359477124183007,17.57188498402556,D
Michigan,15.2,13.649025069637883,14.243323442136498,15.29745042492918,R
Wyoming,22.22222222222222,13.725490196078432,16.666666666666664,14.583333333333334,R
Nebraska,21.311475409836063,13.846153846153847,15.037593984962406,18.38235294117647,R
Alaska,16.50485436893204,14.14141414141414,15.11627906976744,16.483516483516482,R
Idaho,27.1356783919598,15.254237288135593,21.91780821917808,23.62204724409449,R
Oklahoma,18.666666666666668,16.216216216216218,20.27972027972028,17.123287671232877,R
Louisiana,20.43010752688172,16.577540106951872,15.909090909090908,20.32967032967033,R
Florida,21.79732313575526,16.73469387755102,18.123667377398718,24.896265560165975,R
Indiana,19.078947368421055,17.940199335548172,13.090909090909092,17.01388888888889,R
New Mexico,24.675324675324674,18.055555555555554,20.689655172413794,21.53846153846154,D
Montana,40.20618556701031,19.318181818181817,14.942528735632186,22.89156626506024,R
New Hampshire,20.8955223880597,19.35483870967742,22.22222222222222,27.586206896551722,D
Kentucky,22.93577981651376,19.457013574660635,16.826923076923077,17.674418604651162,R
Texas,22.774869109947645,20.441988950276244,29.91202346041056,33.82789317507419,R
Georgia,24.576271186440678,24.200913242009133,26.5,27.397260273972602,R
Hawaii,29.78723404255319,33.33333333333333,25.71428571428571,31.57894736842105,D
